Longitude,Latitude,UHI Index
-77.30169667,39.10924667,0.9911369
-77.30038167,39.11336167,0.99735594
-77.300285,39.10843333,0.98733246
-77.299315,39.10788,1.0020734
-77.2993,39.115225,0.98946357
-77.29857667,39.11649833,0.9978303
-77.29818667,39.16847,0.99018127
-77.298055,39.166535,0.9952615
-77.29798,39.16643167,0.99954313
-77.29793667,39.17146,1.0036527
-77.29792333,39.117495,0.9948386
-77.29785167,39.17129667,1.0075786
-77.29781,39.16623167,0.9948318
-77.297805,39.17175333,1.0029556
-77.29772,39.16613833,0.99585366
-77.29757667,39.171865,1.0106995
-77.29729667,39.17206,1.0020062
-77.2972,39.16077167,0.9965665
-77.29710667,39.11821,0.9878004
-77.297,39.16379167,1.0013663
-77.29696333,39.17233833,0.9967084
-77.296885,39.12878833,0.98722345
-77.29687,39.10639,1.0049309
-77.29677333,39.16409,1.0099131
-77.29673833,39.10631,0.99984187
-77.296675,39.16330667,1.0002177
-77.29662333,39.12991167,0.97965294
-77.29659333,39.16306667,0.9919514
-77.29656167,39.16197667,0.9960157
-77.29654333,39.15968833,0.99917054
-77.29652833,39.11880667,0.98748994
-77.29649167,39.15973833,1.0062976
-77.29644833,39.15989333,1.0055788
-77.29627,39.12627833,0.9873437
-77.29623667,39.13114833,0.98953944
-77.29621333,39.11905,0.99085397
-77.29612333,39.13141,0.9827321
-77.29611333,39.17306833,0.9847016
-77.29605333,39.12598333,0.9986301
-77.29600167,39.119225,0.9823784
-77.29600167,39.13166833,0.9732033
-77.29598,39.15933333,0.9962371
-77.29571167,39.11955833,0.994431
-77.29563167,39.11967333,0.98027563
-77.29552667,39.14018333,0.9864976
-77.29538833,39.132755,0.99097645
-77.29536667,39.12016833,0.99970216
-77.29531667,39.13288167,0.98428416
-77.29522,39.15911333,1.0002643
-77.29518,39.12410833,0.98464996
-77.295145,39.120805,0.9887662
-77.29511,39.13807667,0.99429446
-77.29486333,39.122005,1.003297
-77.29485,39.17392667,0.9964145
-77.29484667,39.10514667,0.99627256
-77.29477667,39.13701833,0.98714143
-77.29471333,39.17395167,0.997927
-77.29451,39.13600333,1.0105771
-77.294095,39.15959,0.9968978
-77.29407167,39.15972167,0.99930835
-77.29402,39.159975,0.99351126
-77.29388167,39.16039167,0.9924051
-77.29378667,39.16056667,1.0048176
-77.29366167,39.14317333,0.96752155
-77.29322333,39.16127833,1.001299
-77.29300167,39.16155167,0.9898502
-77.292675,39.16150333,0.9883754
-77.29257667,39.144895,0.9463064
-77.29242833,39.16093167,0.9902164
-77.29240667,39.16137667,0.9833898
-77.29237,39.15939167,0.9953
-77.29224167,39.16120333,0.9926775
-77.29213167,39.15934833,0.9908119
-77.29192167,39.17356167,0.98798865
-77.29179333,39.17353333,1.0067773
-77.29134167,39.10306833,1.0070387
-77.29074,39.15878333,0.9977699
-77.29073,39.1732,0.99701977
-77.29020667,39.15935167,0.9928362
-77.29009333,39.14848833,0.9915298
-77.28995667,39.14873833,0.98571897
